index,k__Bacteria;__;__,k__Bacteria;p__;c__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,k__Bacteria;p__Actinobacteria;__,k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Actinobacteria;c__Coriobacteriia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Bacteroidetes;c__Cytophagia,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,k__Bacteria;p__Cyanobacteria;c__4C0d-2,k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Deferribacteres;c__Deferribacteres,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Firmicutes;c__Erysipelotrichi,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Synergistetes;c__Synergistia,k__Bacteria;p__TM7;c__TM7-3,k__Bacteria;p__Tenericutes;c__Mollicutes,k__Bacteria;p__Tenericutes;c__RF3,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,BarcodeSequence,LinkerPrimerSequence,Description
C10-16S_V3-V4,48.0,3.0,0.0,0.0,8416.0,610.0,13910.0,0.0,0.0,355.0,2.0,64.0,0.0,2193.0,13170.0,1243.0,0.0,26.0,297.0,310.0,0.0,0.0,14.0,0.0,0.0,71.0,,,
C11-16S_V3-V4,115.0,14.0,0.0,13.0,26541.0,530.0,25058.0,0.0,0.0,1122.0,0.0,12.0,0.0,2254.0,7762.0,1405.0,0.0,56.0,515.0,73.0,0.0,0.0,20.0,10.0,0.0,385.0,,,
C12-16S_V3-V4,83.0,4.0,0.0,0.0,22414.0,763.0,32912.0,0.0,0.0,6831.0,0.0,15.0,0.0,3263.0,12550.0,1243.0,0.0,77.0,554.0,93.0,0.0,0.0,39.0,0.0,29.0,3309.0,,,
C2-16S_V3-V4,0.0,0.0,0.0,0.0,3300.0,539.0,23770.0,0.0,0.0,53.0,0.0,0.0,6.0,19206.0,22284.0,101.0,0.0,5.0,157.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
C3-16S_V3-V4,7.0,0.0,0.0,0.0,9038.0,604.0,26130.0,0.0,0.0,432.0,0.0,0.0,0.0,15823.0,8314.0,74.0,0.0,0.0,188.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
C4-16S_V3-V4,29.0,0.0,0.0,0.0,8181.0,376.0,27675.0,0.0,0.0,302.0,6.0,3.0,0.0,17737.0,4926.0,1613.0,0.0,13.0,255.0,124.0,0.0,0.0,28.0,0.0,5.0,0.0,,,
C5-16S_V3-V4,50.0,11.0,0.0,0.0,11959.0,359.0,17837.0,0.0,0.0,844.0,7.0,14.0,0.0,8271.0,10610.0,1207.0,0.0,45.0,224.0,92.0,0.0,0.0,38.0,0.0,6.0,10.0,,,
C6-16S_V3-V4,146.0,0.0,0.0,0.0,1310.0,474.0,19942.0,0.0,0.0,150.0,0.0,0.0,0.0,7426.0,28649.0,77.0,0.0,0.0,89.0,303.0,0.0,0.0,4.0,0.0,0.0,0.0,,,
C7-16S_V3-V4,147.0,0.0,0.0,0.0,1067.0,701.0,23872.0,0.0,0.0,329.0,0.0,0.0,0.0,18223.0,18664.0,59.0,0.0,7.0,118.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
C8-16S_V3-V4,163.0,0.0,0.0,0.0,406.0,478.0,12253.0,0.0,0.0,76.0,0.0,0.0,0.0,6079.0,39499.0,59.0,0.0,0.0,51.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
C9-16S_V3-V4,88.0,0.0,0.0,0.0,2761.0,457.0,15716.0,0.0,0.0,30.0,0.0,0.0,0.0,13412.0,16696.0,53.0,0.0,6.0,105.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
WA1-16S_V3-V4,25.0,0.0,0.0,0.0,21472.0,291.0,10887.0,0.0,0.0,490.0,0.0,8.0,0.0,1762.0,9877.0,669.0,0.0,28.0,178.0,9.0,0.0,0.0,0.0,0.0,0.0,1655.0,,,
WA11-16S_V3-V4,0.0,0.0,3794.0,0.0,11705.0,0.0,153.0,5091.0,6490.0,10.0,1889.0,0.0,0.0,0.0,0.0,0.0,7295.0,8626.0,2170.0,0.0,20720.0,0.0,658.0,0.0,0.0,0.0,,,
WA2-16S_V3-V4,7.0,4.0,0.0,0.0,21095.0,772.0,23415.0,0.0,0.0,1265.0,0.0,27.0,0.0,1561.0,16361.0,1677.0,0.0,23.0,326.0,274.0,0.0,0.0,8.0,139.0,0.0,5908.0,,,
