#Feature ID	Taxon	Confidence
63d91334d3e7702019c741dff3506802	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.9999999932828277
bed7de54512d177e52440b65a6fadde2	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9998445634442692
1df06cec07216b13c3aba7e5290c45dc	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.8845974187789831
c2bab84081a6143b910e0aebfc552b43	k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__; s__	0.9999997662304299
edeac6f9ebb23c47ebcf5d3bae50b613	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.9960397667531895
a15c6941507535f32afd3425a017aec7	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__	0.9982630223224609
a6b6df49926f4270997c6ac541fb93de	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999479623240398
e1e8c634b8dcb84d211651db691f6107	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__	0.9488695096099624
db331f2a3b470a48aad000969e35eef2	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9995814712458195
4ce4e38304e1eb1c6717faf16c99766a	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__	0.9997814075101206
22a0184482a7133a430d55e9f39f6c51	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9969534634563234
650d373c580688d71afe5a70feb91c2b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae	0.999999761722099
2d3d6be4eaf1d0c1e6a4bc73733062fd	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Alkanindiges; s__	0.9914738009963192
ebf0d3cdc7f0fabfee2150ed8cdcfa92	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999986230017969
e2a84781eb125677df5c5de6bec81f3b	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__hamsteri	0.8220115059254471
b63fd0273426216875770baecce0aaa2	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Allobaculum; s__	0.9650629725506235
b75e475ca8be6ef93c9b06d670c11713	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9995779223338499
458c033ae8cb2cc6fd892a3c77a59b52	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999965272265474
3d5a2a3a4b03d154ccbbc9f3c4f1c0ae	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__flavefaciens	0.9783358800302608
ced4c36b54fb352585e1a793033e8c17	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0.975798042021247
2af8882c274b42bf24a2bc4c1f4fd8a6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9831557930353573
